科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"1228551
Invitation to Arts and Sciences
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,"Ho Kiong
久武 幸司
渋谷 和子",オンデマンド,"This lecture serves as an introduction to bachelor's course education at the university. This course invites students to learn about academic methodology at the university level, and cultivates an understanding of the academic field in which they are majoring, as well as the ability to understand the relationship with related fields.",For students in Medical Science English Program 英語で授業。 CDP. オンライン(オンデマンド型)
"1228561
Invitation to Arts and Sciences
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,"Hassan Modar
Sharmin Sonia",オンデマンド,"This lecture serves as an introduction to bachelor's course education at the university. This course invites students to learn about academic methodology at the university level, and cultivates an understanding of the academic field in which they are majoring, as well as the ability to understand the relationship with related fields.",For students in IDE Program 英語で授業。 CDP. オンライン(オンデマンド型)
"1228571
Invitation to Arts and Sciences
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,"サンドバール フェリーぺ
森尾 貴広",オンデマンド,"This lecture serves as an introduction to bachelor's course education at the university. This course invites students to learn about academic methodology at the university level, and cultivates an understanding of the academic field in which they are majoring, as well as the ability to understand the relationship with related fields.",For students in BPGI 英語で授業。 CDP. オンライン(オンデマンド型)
"1228701
Invitation to Arts and Sciences
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,吉岡 洋輔,オンデマンド,"This lecture serves as an introduction to bachelor's course education at the university. This course invites students to learn about academic methodology at the university level, and cultivates an understanding of the academic field in which they are majoring, as well as the ability to understand the relationship with related fields.","For students in Japan-Expert, Agricultural Science Course 英語で授業。 CDP. オンライン(オンデマンド型)"
"1228711
Invitation to Arts and Sciences
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,柴山 大賀,オンデマンド,"This lecture serves as an introduction to bachelor's course education at the university. This course invites students to learn about academic methodology at the university level, and cultivates an understanding of the academic field in which they are majoring, as well as the ability to understand the relationship with related fields.","For students in Japan-Expert, Healthcare Course 英語で授業。 CDP. オンライン(オンデマンド型)"
"1228721
学問への誘い
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
応談",,入山 美保,オンデマンド,"本講義は,本学の学士課程教育への導入を担う。大学における学問の方法論へ誘(いざな)い、自らが専攻する学問分野への理解や、関連する諸分野との関係性も理解できる能力を涵養する。",Japan-Expert学生対象 CDP. オンライン(オンデマンド型)
"1290011
Learning and Ethics of Research
シラバスシラバス（ミラー）","1.0単位
1年次","秋AB
水2",3A212,"掛谷 英紀
大楽 浩司
井澤 淳
伊達 央
プエンテス サンドラ ミレイナ",対面,"This course introduces fundamental concepts related to learning and research activities in a university, from an ethics point of view. In particular, it includes the following topics: definition of science, research methodology, research misconduct, mentor and advisor, responsible authorship, peer review and publication, data management, collaborative research, conflict of interests, whistleblowing and obligation to protect the public.",Student number limit may apply. Priority is given to IDE Students. 英語で授業。 対面
"1290021
OMOTENASHI ―Japanese Culture and Manner―
シラバスシラバス（ミラー）","1.0単位
1年次","秋AB
木3",5C301,江上 いずみ,対面,"・To understand Japanese culture, history, and etiquette. ・To learn about Japanese customs, traditions, and manners from the perspective of cross-cultural communication. ・To learn business etiquette in Japan based on an understanding of the principles of protocol (international etiquette).","The number of students is limited to 20. If the number of students exceeds the capacity, priority will be given to international students, mainly first-year students. The Lecture is conducted in English. face-to-face 英語で授業。 対面"
"1290031
Global Issues and Society
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋C
集中",CA305,森尾 貴広,対面,"It is crucial to solve global issues for constructing sustainable society. We tackle the issues of water, waste management, urbanization, eco-system and climate change shown in the Sustainable Development Goals (SDGs), and we explain the causes, mechanism, spatial and temporal variabilities, and solution from the viewpoints of multiple stakeholders.",「Global Issues and Society（1C90131）」の取得済みの者は履修できない。 英語で授業。 対面
"1290041
Japanese Issues I (Japanese Nature and Geography)
シラバスシラバス（ミラー）","1.0単位
1・2年次","春季休業中
集中",9P102,山本 千波,対面,この授業では、日本に関連する自然や地理についての様々なトピックについて理解し議論する。,"定員30名。英語プログラム学生優先。 「Japanese Issues I (Japanese Nature and Geography)（1A90011）、（8333001）」の単位を取得済みの者は履修できない。 英語で授業。 2/18-2/21, 2/25 対面 詳細は授業内で、またはmanabaで周知する。"
"1290051
Japanese Issues II (Introductory Japanese History）
シラバスシラバス（ミラー）","1.0単位
1・2年次","春AB
月2",9L202,山本 千波,対面,この授業では、日本形成の始まりから封建時代終盤までの歴史について理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Issues II (Introductory Japanese History）（1B90021）、（8333011）」の単位を取得済みの者は履修できない。 西暦偶数年度開講。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290061
Japanese Issues III (Japanese Life and Culture)
シラバスシラバス（ミラー）","1.0単位
1・2年次",,,,対面,この授業では、日本の歴史、伝統そして人々に関連する様々なトピックについて理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Issues III (Japanese Life and Culture) （1B90031）（8333021）」の単位を取得済みの者は履修できない。 西暦奇数年度開講。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290071
Japanese Issues IV (Japanese Language and Society)
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋C
金1,2",9L101,ヴァンバーレン ルート,対面,この授業では、日本語および日本語の日本文化および社会との関係に関連する様々なトピックついて理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Issues IV (Japanese Language and Society)（1B90051）、（8333031）」の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290081
Japanese Issues V (Japanese Socio-culture)
シラバスシラバス（ミラー）","1.0単位
1・2年次","春季休業中
集中",9P209,ヴァンバーレン ルート,対面,この授業では、日本と日本人に関連する社会と文化についての様々なトピックについて理解し議論する。,"定員30名。英語プログラム学生優先。「Japanese Issues V (Japanese Socio-culture)（1B90071）、（8333041）」の単位を取得済みの者は履修できない。 英語で授業。 2/18-2/19, 2/21 対面 詳細は授業内で、またはmanabaで周知する。"
"1290091
Japanese Issues VI (Living and Learning among the Japanese）
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋AB
金2",9L101,ヴァンバーレン ルート,対面,この授業では、日本で日本語を学ぶことについての様々なトピックについて理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Issues VI (Living and Learning among the Japanese）（1B90081）、（8333051）」の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290101
Japanese Culture
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋AB
月1",9L202,山本 千波,対面,この授業では、日本人の精神と日本文化についての様々なトピックについて理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Culture（1C90011）、（8333091）」の単位を取得済みの者は履修できない。 西暦偶数年度開講。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290111
Japanese Society
シラバスシラバス（ミラー）","1.0単位
1・2年次","春AB
月1",9L202,山本 千波,対面,この授業では、日本社会に関連する様々なトピックについて理解し議論する。,定員30名。英語プログラム学生優先。「Japanese Society（1C90051）、（8333101）」の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290121
Modern Japanese History
シラバスシラバス（ミラー）","1.0単位
1・2年次",,,,対面,この授業では、明治時代から現代までの歴史について理解し議論する。,定員30名。英語プログラム学生優先。Modern Japanese History（1C90091）、（8333111）の単位を取得済みの者は履修できない。 西暦奇数年度開講。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290131
Career Design I
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋AB
月2",9L202,山本 千波,対面,この授業では、卒業後の雇用についての様々なトピックについて理解し議論する。日本での雇用、日本に関する基本的な知識、政治と経済の歴史、仕事における習慣、人間関係などのトピックを含む。,定員30名。英語プログラム学生優先。「Career Design I （1C90031）、（8333061）」の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290141
Career Design II
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋C
月1,2",9L202,山本 千波,対面,この授業では、卒業後の雇用において有益であろう、現在の日本における問題点についての様々なトピックについて理解し議論する。,定員30名。英語プログラム学生優先。「Career Design II（1C90071）、（8333071）」の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290151
Career Design III
シラバスシラバス（ミラー）","1.0単位
1・2年次","春C
月1,2",9L202,山本 千波,対面,この授業では、卒業後の雇用において有益であろう、現在の日本における問題点についての様々なトピックについて理解し議論する。日本の過去、現在、未来における様々な側面についてのトピックを含む。,定員30名。英語プログラム学生優先。Career Design III（1C90111）、（8333081）の単位を取得済みの者は履修できない。 英語で授業。 対面 詳細は授業内で、またはmanabaで周知する。
"1290161
OMOTENASHI ―Japanese Culture and Manner―
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木3",5C301,江上 いずみ,対面,"・To understand Japanese culture, history, and etiquette. ・To learn about Japanese customs, traditions, and manners from the perspective of cross-cultural communication. ・To learn business etiquette in Japan based on an understanding of the principles of protocol (international etiquette).","The number of students is limited to 20. If the number of students exceeds the capacity, priority will be given to international students, mainly first-year students. The Lecture is conducted in English. face-to-face 英語で授業。 対面"
"1290171
Forest
シラバスシラバス（ミラー）","1.0単位
1年次","春A
月1,2",,津村 義彦,オンデマンド,森林を自然科学(遷移、植生、遺伝、樹病、木材利用)、環境(地形、土壌、温暖化)、レジャー、利用など多面的な視点から捉え、日本や海外の森林を取り巻く状況や諸問題を蓄積された研究成果だけでなく最新知見を含めた講義を行う。,英語プログラム学生に限る 英語で授業。 オンライン(オンデマンド型)
"1290181
Inclusive Smart Society 概論Ⅰ
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋AB
随時",,"宮内 久絵
秋山 肇
アランニャ
クラウス
松島 亘志",オンデマンド,このコースは包括的なスマート社会の概念に深く踏み込み、特にその３つの基本要素である「人々」、「技術」、および「ガバナンス／ポリシー」に焦点を当てます。Nam and Pardo（2011）によって概説された三位一体を強調し、人的資本と社会資本への投資と強力なICTインフラが持続可能な成長を推進し、総合的な生活の質を向上させる「スマート」な社会を構成する重要な要素を探求します。これら３つの要素がどのように相互作用し、真に「スマート」な社会を作り出す原則を理解するために、障害の本質や、障害を抱える人を含むすべての個人を包括する社会を創造するための重要な情報と議論に触れることになります。,【事前登録対象】【定員200名】 英語で授業。 オンライン(オンデマンド型) 詳細は後日manabaで周知。
"1290191
Inclusive Smart Society 概論II
シラバスシラバス（ミラー）","1.0単位
1・2年次","秋C
随時",,"木村 武史
吉原 ゆかり
森尾 貴広
Hassan Modar
佐藤 貴弘
小野 誠司
永田 真一
松島 亘志",オンデマンド,「Inclusive Smart Society概論Ⅰ」に続き、このコースでは、Inclusive Smart Societyのデザインと強化に関するいくつかのトピック（ポピュラーカルチャー、比較宗教、および障害を抱える人々のためのスポーツなど）を紹介します。学生はこれらのトピックを学び、日米の学生間でのディスカッションを行うことを通じて視野を広げるよう求められます。いくつかのケースでは、”Inclusive”や”Smart”といった基本的な概念が、このコースのトピックにどのように適用されるかを尋ねることが奨励されます。また、日米双方の学生は共有されたトピックに対する異なる文化的評価を認識し、問題の特定や解決策の発見に他の文化的観点を取り入れることを学ぶよう求められます。,【事前登録対象】【定員200名】 英語で授業。 オンライン(オンデマンド型) 詳細は後日manabaで周知。 ※学期変更：秋AB→秋C
"1390111
Living in Japan as Foreign Students
シラバスシラバス（ミラー）","1.0単位
1年次","秋AB
金3",1C305,"ウラノ エジソン ヨシアキ
オルトラーニ アンドレア",対面,"This course will provide clear explanations by using specific examples of legal and social rules foreign students must know for their lives in Japan. In particular, lectures will be focused on legal and administrative procedures required for studying, employment and settlement, by illustrating immigration control, the precautions for the limits of the non-academic activities regarding part-time jobs, visa application required for job hunting and job hunting after graduation, visa application required after the employment or in case of unemployment, marriage to a Japanese or a foreigner, and family life.","For students in Undergraduate Program of International Social Studies, auditor students and other international students CDP. 対面"
"1401011
卒業生による業界探訪
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
木6",1D201,池田 潤,対面,金融、マスコミ、IT、食品、スポーツ、ベンチャー、公務員、アカデミアなどの業界に精通した卒業生が各業界の現状、魅力、求める人材像、さらに筑波大での幅広い学びと深い専門性が社会でどう活かされるかについて、講義と質疑応答を行う。,【事前登録対象】【定員194名】(人文開設) 対面 状況によってはオンラインに変更する場合がある。
"1401021
21世紀の中国ー現代中国の諸相ー
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
金4",1H201,毛利 亜樹,対面,巨大な隣国である中国は、1976年の文化大革命の終結以降、経済の改革開放政策の成果により、大きな変貌をとげた。21世紀初頭の今、ますます存在感を増した中華人民共和国の現在の諸相を、学生にとって身近な目線で講じる。現在中国との関わりの深い筑波大学OBを講師とし、現代中国の文化、社会、経済、環境、日中翻訳など、様々な観点から、現場に立つ講師ならではの姿を描き出す。,【事前登録対象】【定員200名】(国際総合学類開設) オンライン(対面併用型)
"1401031
人文学の極意と深淵
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
金4",1D204,檜垣 良成,対面,哲学、史学、考古学・民俗学、言語学の4分野から成り、人間の思考や営みにかかわる多様な学問領域を扱い、人間とは何かを「見つける」きっかけを与える人文学の極意と深淵を提供する。入門ではなく、高年次生が人文知の深みに触れ、自らの専門を異なる視野から見直すきっかけとなるよう、10名のスペシャリストが問題提起する。,【事前登録対象】【定員120名】（人文開設） 対面(オンライン併用型)
"1402011
比較文化の探求ー名著のすすめー
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
月2",2B411,"濱田 真
廣瀬 浩司
山本 真
加藤 百合
竹谷 悦子
海後 宗男
橋本 康二
馬場 美佳
木村 周平
佐本 英規",対面,"人文・文化研究において, 文献との出会いは重要である。感銘を受け, 学問的に刺激された文献は, 研究上のみならず, その人の生き方にも影響を与えることがある。本講義では, グローバル時代において比較文化を探求する教員が自ら選んだ, 学生必読の文献を紹介しつつ, 高度かつ専門的な視野から文化を読み解く方法を考えていく。",【事前登録対象】【定員120名】(比文開設) 対面
"1405014
国際学を学ぶIII
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
水2",3A306,"松原 康介
柏木 健一",対面,グローバル化が進展し、環境問題や人口問題が深刻さを増すなか、国際社会で生じる諸現象について理解することが求められている。本講義では、グローバルな対応が求められる国際社会の諸課題に対して、人文・社会科学や情報・環境学における様々な視点や方法からアプローチしつつ、今後の国際社会の在り方について理解と考察を深めることを目的とする。国際政治・国際法、経済学、文化・社会開発、情報・環境学に関わる基礎知識を発展させるため、この授業ではPBL(Project-Based Learning)あるいはグループワーク形式を採り、グループごとに設定したリサーチトピックについて、課題の設定、課題の解決に向けた文献講読や資料収集、調査、ディスカッション、プレゼンテーションなどを行い、理解を深める。,【事前登録対象】【定員60名】(国際総合学類開設) 対面 *国際総合学類生の受講は認めない。
"1406011
学校を考える
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
水3",,"京免 徹雄
田中 正弘
遠藤 優介
川上 若奈",オンデマンド,これからの学校と教師の在り方について論究する。第1に、日本の学校の現状と課題をおおまかにつかんだ上で、日本と世界の教科外活動およびキャリア教育の展開について解説する。第2に、高等教育とジェンダーについて講義する。第3に、理科教育の現状と課題について検討する。第4に、道徳教育の制度と実践について考察する。これらの講義を通して、教育に関する見識と教養を向上することを目指している。,【事前登録対象】(教育開設) オンライン(オンデマンド型) 人間学群学生の受講は認めない。
"1410011
自然保護学入門
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
月2",2B412,"上條 隆志
吉田 正人
横井 智之
飯田 義彦
川田 清和
三ツ井 聡美
澤田 聖人",対面,自然保護に関わるトピックについてオムニバス方式で講義を行う。主な内容は、「自然保護とは何か(総論)」、「生物多様性の保全」、「野生動物管理」、「島嶼生態系の保全」、「昆虫の保全生態学」、「自然保護法制度」、「ジオパーク」、「自然保護と地域コミュニティー」などである。講義は、自然保護寄附講座サーティフィケートプログラムの担当教員が中心となって実施する。自然科学と社会科学の両面をとりいれた学際的な講義構成とする。,【事前登録対象】【定員120名】(資源開設)「自然保護学入門」（1C10141）、（１D10011）を修得済みの者は受講できない。 対面
"1412011
数学の最前線:未解決の問題への挑戦
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋C
月1,2",3A402,金子 元,対面,"数学は常に変化する未解決問題の宝庫である.そのような問題は数学の内部発展の必要性から生じ,また社会的要請からも生まれ,新しい数学を生み出す.このような数学の創造と発展のダイナミクスを,幾つかの話題を通じて解説する.",【事前登録対象】【定員120名程度】(数学開設) 対面(オンライン併用型)
"1413011
現代物理学入門
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
月1",1D201,"吉川 耕司
岡田 晋
中條 達也
伊敷 吾郎
森 正夫
矢島 秀伸
山﨑 剛",対面,物理学を専門としない学生に向け、現代物理学の基礎的な概念や考え方を講義する。基礎的方程式を使い、簡単な物理現象やその法則がどのように表現されているかを学び、方程式を解くことにより何が予言されるかを概観する。,【事前登録対象】【定員120名】(物理開設) 対面
"1414014
事例に学ぶ環境安全衛生と化学物質
シラバスシラバス（ミラー）","1.0単位
3・4年次","夏季休業中
集中",1H201,"佐藤 智生
百武 篤也
宮川 晃尚
志賀 拓也
一戸 雅聡
中村 修
貴志 孝洋
矢島 進介",対面,人類は多くの有用な化学製品を製造し利用しているが、そのためには危険で有害な化学物質でも取扱う必要がある。本科目では、化学物質の危険性、有害性及び環境影響を理解している学生を主対象に、化学物質を取扱う際に留意すべき事項や手法を具体的な事例に基づいて講義する。本科目を通して、化学物質取扱作業に起因する事故、健康障害、環境汚染の具体的防止手法を理解し実践できる人材を育成する。,"【事前登録対象】【定員120名】(化学類開設) 9/26(木)、9/27(金)の各9:00-11:45および13:00-17:15 9/26,9/27 実務経験教員. 対面 ２年次以上のみ履修を認める。 総合科目III「実践・安全衛生と化学物質」の単位を修得した学生は、履修申請できない。"
"1415011
現代物理と先端工学
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
金1",3A403,藤田 淳一,対面,"20世紀に,量子力学を始めとした大きな発展を遂げた物理学は,その後も目覚ましい発展を続け,現代の工学に大きな影響を与え,高度情報化社会を支えるさまざまな製品を生み出している。本講義では,現代物理学が,どのように先端的工学に活かされているかを,いくつもの実例を挙げて紹介し,物理学を始めとした自然科学が,工学を通して社会にいかに貢献しているかを解説する。3,4年生が,卒業後の進路を選択する際にも大いに参考となる講義をめざす。",【事前登録対象】【定員120名】(応理開設) 対面 応用理工学類学生の受講は認めない。
"1415021
社会問題を見据えた材料開発とその応用
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
月1",3A304,金 熙榮,対面,現代の科学技術分野におけるめざましい進歩には、常に新物質・新素材の開発が中心的役割を果たしてきた。本科目では、物質・材料科学に焦点を当て、医療・福祉、エネルギー、環境、電子光デバイス、航空宇宙などの最先端の工学分野における物質・材料開発の状況や今後の課題について解説する。各自の専門分野をベースにより広い視野から高齢化、エネルギー問題、環境問題、資源問題など様々な社会的な課題を認識し、その解決に向けた材料科学に対する幅広い知識を身につける。,【事前登録対象】【定員120名】(応理開設) 対面(オンライン併用型) 応用理工学類学生の受講は認めない。
"1416011
工学システムをつくる
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
月3",3A402,"若槻 尚斗
安芸 裕久",対面,"いくつかの工学システムの先端的な話題を取り上げ,2年次までに学んだ専門的知識に基づきながら,現在のシステムの問題点やそれを解決するためのキーアイディアについて説明する。",【事前登録対象】【定員120名】 対面
"1420014
デジタルクリエイティブ基礎
シラバスシラバス（ミラー）","1.0単位
3・4年次","春B
木5,6","7C102
春日講堂",近藤 祐爾,対面,プレゼンテーション、各種デザインから写真・動画投稿にいたるまで、デジタルコンテンツのビジュアル表現に必要とされる基礎技術を理解し、実際に活用できるようにします。普段何気なく目にしているWeb、広告、ポスター、カタログ、雑誌・書籍、TVCM、映画、製品パッケージ、工業製品からプレゼンテーションに至るまで、さまざまなビジュアル表現が使われています。InstagramやTwitterなどのSNSへの画像アップロード、LINEスタンプの利用、YouTube動画のアップロードなど、日常生活においてビジュアル表現を活用する場面も増えています。 Instagram向けの画像加工アプリでは一体どんな風に画像が加工されているのか、LINE スタンプはどのように作られているのか、YouTube向けに動画コンテンツを制作したいときどんなことを知っておくとよいのか、デジタルコンテンツにおいてビジュアル表現を活用するには、クリエイティブ技術の理解が必要になります。 現在、ビジュアル表現に関わる制作の大半はデジタル化されているので、デジタルクリエイティブ技術の基礎を理解することで、よりよいビジュアル表現のための知識が習得できます。,【事前登録対象】【定員140名】(情報学群開設) テクニカルコミュニケーター (TC) 専門課程「デザイン・表現設計」分野の科目 対面
"1420024
デジタルクリエイティブ（デザイン）
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋A
木5,6",春日講堂,近藤 祐爾,対面,グラフィックデザインやWebデザインにフォーカスし、デザインの役割や構成要素を理解し、レイアウト、タイポグラフィー、造形、色彩、画像処理などを通して、制作のための基本的な考え方、目利きのための視点、メディアの特性や成果物の制作技術についての理解を深めます。 講義と実際にデジタルデザインツールを用いた演習で、バリエーション検討などの試行錯誤の力および成果物を制作する力を養います。,【事前登録対象】【定員70名】(情報学群開設) 「デジタルクリエイティブ基礎」の受講を推奨します。 対面
"1420034
デジタルクリエイティブ（動画）
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋B
木5,6",春日講堂,近藤 祐爾,対面,動画編集やアニメーション制作にフォーカスし、動画の成り立ちや構成要素を理解し、時間軸、シーンとカットによる演出、撮影スタイルと編集方法、構図とレイアウト、タイポグラフィー、特殊効果、アニメーション手法などを通して、動画制作のための基本的な考え方、目利きのための視点、編集技術についての理解を深めます。 講義と演習で、実際にデジタル編集ツールを用いた編集する力および成果物を制作する力を養います。,【事前登録対象】【定員70名】(情報学群開設) 「デジタルクリエイティブ基礎」の受講を推奨します。 対面
"1422011
健康と社会
シラバスシラバス（ミラー）","1.0単位
3・4年次","春A
月5,6",3A402,"柴山 大賀
阿部 吉樹
伊藤 智子
安梅 勅江
目 麻里子",対面,現代の少子高齢化の社会構造やストレス社会において、人々に様々な健康影響が生じている。いくつかの健康問題を題材に、社会的要因と健康との関連性について考えることをとおして、働き方や生活の仕方を見直す機会とし、今後の社会や自身のあり方を探る。,【事前登録対象】【定員120名】(看護開設) 実務経験教員. 対面(オンライン併用型) 主に3年生以上向け
"1425011
社会のなかの建築デザイン
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋A
火1,2",5C416,"加藤 研
山田 協太",対面,デザインに何が出来るのか? 社会との関わりについて、建築デザインの観点から、デザインの可能性を探る。,【事前登録対象】（芸術開設） 対面
"1425021
スポーツ芸術表現学
シラバスシラバス（ミラー）","1.0単位
3・4年次","春AB
火6",5C216,"水野 裕史
大林 太朗
寺山 由美
宮坂 慎司",対面,アートには、スポーツを題材とする作品や、身体の動きを伴うパフォーマンスアートがあります。一方、スポーツには、フィギュアスケートのように芸術性を高く評価する競技も数多く見られます。本授業は、アートとスポーツの結節点の様相について、様々な分野の視点から追究します。,【事前登録対象】(芸術開設) 対面(オンライン併用型) 人数制限あり（120名）
"1426011
社会基礎学II-「グローバル化」と「地方の活性化」に貢献できる輝く人材の育成:世界に挑む産業界・官界トップリーダーによる連続リレー講義
シラバスシラバス（ミラー）","1.0単位
2 - 6年次",,,,対面,世界は、新興国の急成長、産業や市場のボーダレス化、ICT等、先端技術の進歩などにより、人材・情報・資金が国境を越えて行きかっています。同時に国は勿論のこと、国内の地域や都市の間でも競争が激化しています。このため、地球環境問題や資源・エネルギー問題など、世界にまたがるグローバルな課題に的確に対処していくことが求められています。また、少子高齢化と人口減少が急速に進んでいるわが国で、豊かな生活と産業の発展の鍵を握るのは、地方の活性化であり、地方で活躍し、輝く若い人材が求められています。 この激動の時代を生き抜く学生の皆さんが、「国際社会と地域社会に貢献する」という高い志を持って研鑽に励むためには、本リレー講義では、高年次の学群生を対象に、これまで学んできた教養や専門性を基礎に、社会で活躍する上において求められる総合的な基礎力や想像力、構想力、分野を超えた広い視野の向上をサポートします。 講義のキーワードである、「グローバル化とは何か」、「日本国内におけるグローバル化とは」、「地域社会の発展に何が必要か?」、について理解し、様々な課題に対して強い関心と好奇心を持ち、グローバルと地方創生の時代に果敢にチャレンジし、活躍できる人材を目指すことを期待します。,2024年度開講せず。 実務経験教員. 対面
"1490011
Topics in Social Sciences
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
水2",1B303,モゲス アブ ギルマ,対面,"This course deals with advanced and contemporary topics in social sciences from the conceptual, practical, and public policy perspectives. The course will cover topics ranging from economic development, inequality and poverty, inter-and-intra national migration, political economics of public policies, sustainable development, and the prospects as well as the challenges of globalization.",1E90011と同一。 英語で授業。 対面
"1490014
Inclusive Smart Society PBL
シラバスシラバス（ミラー）","1.0単位
2・3年次","秋C
随時",,"亀田 敏弘
山本 亨輔
松島 亘志","オンデマンド
同時双方向",このコースは、オハイオ州立大学（OSU）と筑波大学の学生が参加するInclusive Smart Society（ISS）実現をテーマとする国際共同PBL科目である。両大学の学生らは、アイデアを共有し、国際チームを形成して、共にISS実現に向けたソーシャルスタートアップの提案を目指す。受講生らは、ISSに普遍的および地域的要素がある事を理解し、様々な課題を調査・分析して実用的なソリューションを構築することが求められる。本プロセスを通じて、実社会課題への実践的アプローチと方法論を修得できる。なお、本コースは受講に当たって、ISS概論の受講を前提とする。,【事前登録対象】【定員100名】 英語で授業。 オンライン(オンデマンド型) 詳細は後日manabaで周知。10回目の授業はオンライン（同時双方向型）で行う。
"1490221
Mechatronics Basics and Applications
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋ABC
金3",3A213,Hassan Modar,対面,"In this course students will learn how to design and implement a mechatronics system including a) a controller, b) sensors, c) actuators, and d) an algorithm. The course is structured as follows: basic class unit, mid-term project, advanced class unit, end-term project. Students are organized in teams, and a project theme is given for each team. Evaluation is based on report and project presentation of each team. In addition to learning the structure, design, and analysis of mechatronics systems this course aims to nurture a “can do” attitude where students are willing to take challenges and design engineering solutions from scratch.",Identical to 1D90221. Lecture is conducted in English. Admission limit: up to 20 students. Priority is given to IDE Students. 1D90221と同一。 英語で授業。 対面 Admission limit: up to 20 students. Priority is given to IDE Students.
"1D90221
Mechatronics Basics and Applications
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋ABC
金3",3A213,Hassan Modar,対面,"In this course students will learn how to design and implement a mechatronics system including a) a controller, b) sensors, c) actuators, and d) an algorithm. The course is structured as follows: basic class unit, mid-term project, advanced class unit, end-term project. Students are organized in teams, and a project theme is given for each team. Evaluation is based on report and project presentation of each team. In addition to learning the structure, design, and analysis of mechatronics systems this course aims to nurture a “can do” attitude where students are willing to take challenges and design engineering solutions from scratch.",Identical to 1D90221. Lecture is conducted in English. Admission limit: up to 20 students. Priority is given to IDE Students. 1490221と同一。 英語で授業。 対面 Admission limit: up to 20 students. Priority is given to IDE Students.
"1E90011
Topics in Social Sciences
シラバスシラバス（ミラー）","1.0単位
3・4年次","秋AB
水2",1B303,モゲス アブ ギルマ,対面,"This course deals with advanced and contemporary topics in social sciences from the conceptual, practical, and public policy perspectives. The course will cover topics ranging from economic development, inequality and poverty, inter-and-intra national migration, political economics of public policies, sustainable development, and the prospects as well as the challenges of globalization.",1490011と同一。 英語で授業。 対面
"2103123
基礎体育インラインスケート(春)
シラバスシラバス（ミラー）","0.5単位
1年次","春AB
火3",共通体育実習棟,河合 季信,対面,インラインスケートによる運動を通して、仲間と共にスポーツを楽しむための基礎を学ぶと共に、体力の維持・向上を目指す。,I G科目. 実務経験教員. 対面
